FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_aereo_GB005.32,32,0,POINT (-57.58153532399996 -37.93323406899998),Aeropuerto Astor Piazzolla,Aeropuerto,Astor Piazzolla,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.65,65,0,POINT (-68.40062999899999 -34.59128848199998),Aeropuerto Suboficial Ayudante Santiago Germano,Aeropuerto,Suboficial Ayudante Santiago Germano,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.72,72,0,POINT (-58.002245734999974 -31.30262854299997),Aeropuerto Comodoro Juan José Pierrestegui,Aeropuerto,Comodoro Juan José Pierrestegui,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.75,75,0,POINT (-64.27781253299997 -33.09601828399997),Aeropuerto Río Cuarto,Aeropuerto,Río Cuarto,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.87,87,0,POINT (-60.483907071999965 -31.78956498499997),Aeropuerto General Justo José de Urquiza,Aeropuerto,General Justo José de Urquiza,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.102,102,0,POINT (-64.21372091499995 -31.315574496999943),Aeropuerto Internacional Ingeniero Aeronáutico Ambrosio Taravella - Pajas Blancas,Aeropuerto Internacional,Ingeniero Aeronáutico Ambrosio Taravella - Pajas Blancas,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.151,151,0,POINT (-65.17997321199994 -32.38045594899995),Aeropuerto Internacional Valle del Conlara,Aeropuerto Internacional,Valle del Conlara,-1,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.206,206,0,POINT (-58.41227046599994 -34.557494892999955),Aeroparque Jorge Newbery,Aeroparque,Jorge Newbery,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.209,209,0,POINT (-59.23403704399993 -37.24116137799996),Aeropuerto Héroes de Malvinas,Aeropuerto,Héroes de Malvinas,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.214,214,0,POINT (-57.895412875999966 -34.965492935999976),Aeropuerto La Plata,Aeropuerto,La Plata,-1,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.219,219,0,POINT (-58.600178409999955 -34.60536116099996),Aeropuerto El Palomar,Aeropuerto,El Palomar,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.221,221,0,POINT (-63.75828127999995 -35.68930416699993),Aeropuerto General Pico,Aeropuerto,General Pico,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.240,240,0,POINT (-58.53923567999993 -34.81250590099995),Aeropuerto Internacional Ministro Pistarini,Aeropuerto Internacional,Ministro Pistarini,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.242,242,0,POINT (-64.27942521199998 -36.59183313099993),Aeropuerto Santa Rosa,Aeropuerto,Santa Rosa,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.265,265,0,POINT (-60.48609061899998 -26.748926971999936),Aeropuerto Primer Teniente Jorge Eduardo Casco,Aeropuerto,Primer Teniente Jorge Eduardo Casco,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.274,274,0,POINT (-72.05379494899995 -50.28390231599997),Aeropuerto Comandante Armando Tola,Aeropuerto,Comandante Armando Tola,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.294,294,0,POINT (-65.37698300699998 -33.720130369999936),Aeropuerto Villa Reynolds,Aeropuerto,Villa Reynolds,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.313,313,0,POINT (-57.02096010899999 -37.23448870899995),Aeropuerto Villa Gesell,Aeropuerto,Villa Gesell,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.368,368,0,POINT (-63.230949014999965 -32.32731728599998),Aeropuerto Regional Presidente Néstor Carlos Kirchner,Aeropuerto Regional,Presidente Néstor Carlos Kirchner,-1,IGN/ANAC/Street View,IGN
puntos_de_transporte_aereo_GB005.380,380,0,POINT (-58.583998752999946 -34.45584798599998),Aeropuerto Internacional San Fernando,Aeropuerto Internacional,San Fernando,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.427,427,0,POINT (-72.22776589599994 -51.60406227999994),Aeropuerto 28 de Noviembre,Aeropuerto,28 de Noviembre,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.428,428,0,POINT (-67.46869910099997 -45.789996418999976),Aeropuerto Internacional General Enrique Mosconi,Aeropuerto Internacional,General Enrique Mosconi,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.430,430,0,POINT (-62.16377019099997 -38.71633205499995),Aeropuerto Comandante Espora,Aeropuerto,Comandante Espora,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.434,434,0,POINT (-69.58463776699995 -35.48347304499998),Aeropuerto Comodoro D. Ricardo Salomón,Aeropuerto,Comodoro D. Ricardo Salomón,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.438,438,0,POINT (-67.75337192399996 -53.781534859999965),Aeropuerto Internacional Gobernador Ramón Trejo Noel,Aeropuerto Internacional,Gobernador Ramón Trejo Noel,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.448,448,0,POINT (-67.61026832599998 -39.00354537599998),Aeropuerto Doctor Arturo Umberto Illia,Aeropuerto,Doctor Arturo Umberto Illia,6,IGN04/ORSNA,IGN
puntos_de_transporte_aereo_GB005.474,474,0,POINT (-68.42256710199996 -31.571853268999973),Aeropuerto Domingo Faustino Sarmiento,Aeropuerto,Domingo Faustino Sarmiento,6,IGN/ORSNA,IGN
puntos_de_transporte_aereo_GB005.475,475,0,POINT (-68.79858223799994 -32.82784800799993),Aeropuerto Internacional Francisco Gabrielli - El Plumerillo,Aeropuerto Internacional,Francisco Gabrielli - El Plumerillo,6,IGN/ORSNA,IGN
