FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_ferroviario_AN070.250,250,0,POINT (-63.340787603999956 -28.338011079999944),Estación Lugones,Estación,Lugones,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.251,251,0,POINT (-63.194026047999955 -28.107756965999954),Estación Matará,Estación,Matará,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.252,252,0,POINT (-62.99856565099998 -28.27739934999994),Estación Melero,Estación,Melero,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.253,253,0,POINT (-63.06648102199995 -28.48290626299996),Estación Herrera,Estación,Herrera,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.254,254,0,POINT (-63.949684730999934 -28.244669576999968),Estación Brea Pozo,Estación,Brea Pozo,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.255,255,0,POINT (-62.266877086999955 -28.88627834099998),Estación Bandera,Estación,Bandera,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.256,256,0,POINT (-62.69866928299996 -28.122617701999957),Estación Tobas,Estación,Tobas,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.257,257,0,POINT (-62.951858965999975 -28.604169454999976),Estación Colonia Dora,Estación,Colonia Dora,6,IGN/Trenes Argentinos,IGN
puntos_de_transporte_ferroviario_AN070.258,258,0,POINT (-62.887354924999954 -28.68137903099995),Estación Icaño,Estación,Icaño,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.259,259,0,POINT (-62.847271810999985 -28.81468928099997),Estación Real Sayana,Estación,Real Sayana,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.260,260,0,POINT (-62.80199556599996 -28.947939555999938),Estación Casares,Estación,Casares,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.261,261,0,POINT (-62.12877435499996 -28.99118210299997),Estación Guardia Escolta,Estación,Guardia Escolta,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.262,262,0,POINT (-62.439542347999975 -29.34756086999994),Estación Malbrán,Estación,Malbrán,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.263,263,0,POINT (-62.266952178999986 -29.535800277999954),Estación Argentina,Estación,Argentina,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.264,264,0,POINT (-63.53841361699995 -28.151167292999958),Estación Garza,Estación,Garza,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.265,265,0,POINT (-63.37455918799998 -35.01000847699993),Estación Banderaló,Estación,Banderaló,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.266,266,0,POINT (-63.12175193999997 -35.04632214299994),Estación Elordi,Estación,Elordi,6,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.267,267,0,POINT (-60.39935097599994 -33.673784904999934),Estación Guerrico,Estación,Guerrico,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.268,268,0,POINT (-60.35655519699998 -33.59639001099998),Estación Conesa,Estación,Conesa,2,IGN/Ministerio de Transporte de la Nación,IGN
puntos_de_transporte_ferroviario_AN070.269,269,0,POINT (-60.28890020499995 -33.47399142299997),Estación Cernadas,Estación,Cernadas,2,IGN/Ministerio de Transporte de la Nación,IGN
