FID,gid,entidad,geom,fna,gna,nam,fun,fdc,sag
puntos_de_transporte_aereo_GB035.303,303,2,POINT (-64.49703699999998 -31.41414999999995),Helipuerto Norberto Cordeiro,Helipuerto,Norberto Cordeiro,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.304,304,2,POINT (-60.24938362299997 -33.35895027399994),Helipuerto Miguel Colombise,Helipuerto,Miguel Colombise,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.305,305,2,POINT (-65.41548188799999 -24.77286338999994),Helipuerto Hospital Público Materno Infantil,Helipuerto,Hospital Público Materno Infantil,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.306,306,2,POINT (-65.45093694799994 -24.780694093999955),Helipuerto Centro Cívico Grand Bourg,Helipuerto,Centro Cívico Grand Bourg,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.307,307,2,POINT (-65.49536903699993 -24.77035499899995),Helipuerto Finca Las Costas,Helipuerto,Finca Las Costas,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.308,308,2,POINT (-59.764776807999965 -29.46149234899997),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.309,309,2,POINT (-65.05827170599997 -29.26274325099996),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.310,310,2,POINT (-70.41203348299996 -31.75998110699993),Helipuerto Pachón Minera S.A.,Helipuerto,Pachón Minera S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.311,311,2,POINT (-60.52126499999997 -31.73002699999995),Helipuerto Hospital Materno Infantil San Roque,Helipuerto,Hospital Materno Infantil San Roque,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.319,319,2,POINT (-68.86776050199995 -32.878390915999944),Helipuerto Policía de la Provincia de Mendoza,Helipuerto,Policía de la Provincia de Mendoza,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.320,320,2,POINT (-63.91387328199994 -31.33918602899996),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.321,321,2,POINT (-66.06641649099998 -32.36664929699998),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.322,322,2,POINT (-56.65831430999998 -27.55859094999994),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.323,323,2,POINT (-65.16361215799998 -26.993441788999974),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.335,335,2,POINT (-58.60805651299995 -34.49607339199997),Helipuerto Timen S.A.,Helipuerto,Timen S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.336,336,2,POINT (-58.642179847999955 -34.439648001999956),Helipuerto Nordelta,Helipuerto,Nordelta,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.337,337,2,POINT (-58.655782786999964 -34.37523658099997),Helipuerto Villa La Ñata,Helipuerto,Villa La Ñata,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.341,341,2,POINT (-64.19951524999993 -31.408174102999965),Helipuerto Policía Provincial de Córdoba,Helipuerto,Policía Provincial de Córdoba,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.342,342,2,POINT (-68.57235128299993 -52.73871889999998),Helipuerto Total Austral S.A.,Helipuerto,Total Austral S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.343,343,2,POINT (-69.91757480499996 -50.303060552999966),Helipuerto Estancia San Ramón,Helipuerto,Estancia San Ramón,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.350,350,2,POINT (-68.40794732999996 -52.33027544299995),Helipuerto BRM Cabo Vírgenes,Helipuerto,BRM Cabo Vírgenes,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.351,351,2,POINT (-68.35553047699995 -52.89349689699998),Helipuerto Río Cullen - Total Austral S.A.,Helipuerto,Río Cullen - Total Austral S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.352,352,2,POINT (-67.21302667999998 -54.233591385999944),Helipuerto Estancia Río Ewan,Helipuerto,Estancia Río Ewan,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.359,359,2,POINT (-71.60769733999996 -41.703413713999964),Helipuerto Hidden Lake S.A.,Helipuerto,Hidden Lake S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.360,360,2,POINT (-71.96890788899998 -51.68642909199997),Helipuerto Estancia Santa Ana,Helipuerto,Estancia Santa Ana,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.366,366,2,POINT (-65.68875579999997 -39.566668152999966),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.405,405,2,POINT (-58.42227486599995 -34.59672619799994),Helipuerto Sanatorio Güemes,Helipuerto,Sanatorio Güemes,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.381,381,2,POINT (-60.01835929899994 -36.04421124999993),Helipuerto Unidad Penitenciaria N° 30,Helipuerto,Unidad Penitenciaria N° 30,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.397,397,2,POINT (-56.67878586499995 -36.66696605399994),Helipuerto La Caldera,Helipuerto,La Caldera,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.398,398,2,POINT (-64.33035456599998 -32.360604630999944),,,,6,IGN,IGN
puntos_de_transporte_aereo_GB035.399,399,2,POINT (-58.351560640999935 -34.627881989999935),Helipuerto Dársena Sur,Helipuerto,Dársena Sur,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.400,400,2,POINT (-58.40945713199994 -34.64073190399995),Helipuerto Complejo Médico de la Policía Federal Argentina Churruca Visca,Helipuerto,Complejo Médico de la Policía Federal Argentina Churruca Visca,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.401,401,2,POINT (-58.368086922999964 -34.585980596999946),Helipuerto Fuerza Aérea Argentina (Edificio Cóndor),Helipuerto,Fuerza Aérea Argentina (Edificio Cóndor),6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.402,402,2,POINT (-58.39393252199994 -34.630936978999955),Helipuerto Hospital de Pediatría Profesor Doctor Juan P. Garrahan,Helipuerto,Hospital de Pediatría Profesor Doctor Juan P. Garrahan,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.403,403,2,POINT (-58.429775898999935 -34.580831881999984),Helipuerto Swiss Medical,Helipuerto,Swiss Medical,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.404,404,2,POINT (-58.34496903899998 -34.62151529899995),Helipuerto Madero,Helipuerto,Madero,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.406,406,2,POINT (-58.368346419999966 -34.60643742899998),Helipuerto Teniente Primero Roberto Mario Fiorito,Helipuerto,Teniente Primero Roberto Mario Fiorito,6,IGN,IGN
puntos_de_transporte_aereo_GB035.440,440,2,POINT (-64.71654299999994 -32.689892999999984),Helipuerto Juan y Luci,Helipuerto,Juan y Luci,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.443,443,2,POINT (-58.78854272499996 -34.37865884299998),Helipuerto Cabaña San Isidro Labrador I,Helipuerto,Cabaña San Isidro Labrador I,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.444,444,2,POINT (-58.37458145099998 -34.582440487999975),Helipuerto Centinela,Helipuerto,Centinela,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.445,445,2,POINT (-58.46040831499994 -34.69393029099996),Helipuerto Autódromo Oscar y Juan Gálvez,Helipuerto,Autódromo Oscar y Juan Gálvez,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.534,534,2,POINT (-64.17338732199994 -31.420376113999964),Helipuerto Centro Cívico Bicentenario,Helipuerto,Centro Cívico Bicentenario,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.554,554,2,POINT (-65.82487354499995 -38.147715253999934),Helipuerto Transener S.A.,Helipuerto,Transener S.A.,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.560,560,2,POINT (-58.29967863899998 -34.70794054999993),Helipuerto Policlínico del Vidrio,Helipuerto,Policlínico del Vidrio,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.567,567,2,POINT (-55.92594106699994 -27.404744943999958),Helipuerto Residencia Oficial Gobernador,Helipuerto,Residencia Oficial Gobernador,6,IGN/ANAC,IGN
puntos_de_transporte_aereo_GB035.582,582,2,POINT (-58.790426543999956 -34.56270701699998),Helipuerto Doctor Mariano Moreno,Helipuerto,Doctor Mariano Moreno,6,IGN/ANAC,IGN
