FID,gid,entidad,objeto,fna,gna,nam,sag,fun,geom,fdc
areas_de_actividad_agropecuaria_AL270.743,743,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19925836699997 -34.91190750299995, -58.19959862099995 -34.911621845999946, -58.200191590999964 -34.911142935999976, -58.20065506999998 -34.91075695799998, -58.20080557499995 -34.91063464499996, -58.200897141999974 -34.91056023099998, -58.200999396999975 -34.91047712899996, -58.199804563999976 -34.90945704199993, -58.19786151999995 -34.91103143199996, -58.19775345599999 -34.91111899099997, -58.19787874199994 -34.91123080199998, -58.19793359499994 -34.91127975599994, -58.198099817999946 -34.91142809799993, -58.19873266299999 -34.911970811999936, -58.19885558399994 -34.912079921999975, -58.19892942699994 -34.912158991999945, -58.19908061599995 -34.91205672999996, -58.19917654999995 -34.91197619099995, -58.19925836699997 -34.91190750299995)))",IGN
areas_de_actividad_agropecuaria_AL270.744,744,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.196145566999974 -34.914375665999955, -58.19504490299994 -34.915233383999976, -58.19672033699993 -34.916666678999945, -58.19672891799996 -34.916666678999945, -58.19749355299996 -34.91666668399995, -58.19819745299998 -34.91610165999998, -58.196145566999974 -34.914375665999955)))",IGN
areas_de_actividad_agropecuaria_AL270.745,745,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19234037099994 -34.91570607399996, -58.19118707999996 -34.91666667399994, -58.191666665999946 -34.91666666699996, -58.19332257599996 -34.91666667399994, -58.19341070399997 -34.916587505999985, -58.19316922799993 -34.916391644999976, -58.19261814699996 -34.915943169999935, -58.19241321499993 -34.91576824999993, -58.19234037099994 -34.91570607399996)))",IGN
areas_de_actividad_agropecuaria_AL270.746,746,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.18861031199998 -34.912502150999956, -58.18728387999994 -34.913551677999976, -58.18786837499994 -34.91403245899994, -58.189169936999974 -34.91299222899994, -58.18861031199998 -34.912502150999956)))",IGN
areas_de_actividad_agropecuaria_AL270.747,747,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.18798895899994 -34.91195794899994, -58.18853559099995 -34.91243670899996, -58.18867105399994 -34.91255535099998, -58.18913584099994 -34.912181879999935, -58.18877864099994 -34.91190397199995, -58.18863559399995 -34.912022225999976, -58.18828380699995 -34.911718030999964, -58.18798895899994 -34.91195794899994)))",IGN
areas_de_actividad_agropecuaria_AL270.748,748,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19012208699996 -34.90126792999996, -58.19015943799997 -34.901315573999966, -58.19019145899995 -34.901356419999956, -58.19064170599995 -34.90173610699998, -58.19125279799994 -34.90224471399995, -58.191366681999966 -34.902352244999975, -58.191492677999975 -34.902498538999964, -58.19156417999994 -34.90244059499997, -58.19157904799994 -34.902428347999944, -58.19256718799994 -34.90161442899995, -58.192708581999966 -34.90149796199995, -58.191236077999974 -34.90036662099993, -58.19012208699996 -34.90126792999996)))",IGN
areas_de_actividad_agropecuaria_AL270.749,749,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19083186199998 -34.896104710999964, -58.190393653999934 -34.896443631999944, -58.19108210799993 -34.89701519499994, -58.19153124999997 -34.89668189199995, -58.19083186199998 -34.896104710999964)))",IGN
areas_de_actividad_agropecuaria_AL270.750,750,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19810489399998 -34.88372458599997, -58.19810052999998 -34.88372817399994, -58.19805387599996 -34.88376653599994, -58.19781589899998 -34.88392277099996, -58.19767752699994 -34.88405244399996, -58.19739273799996 -34.88423719899998, -58.19730189899997 -34.88433022099997, -58.19724924999997 -34.88440011399996, -58.19794956199996 -34.885079462999954, -58.19883631099998 -34.88436244099995, -58.19810489399998 -34.88372458599997)))",IGN
areas_de_actividad_agropecuaria_AL270.751,751,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.19573526399995 -34.88009733299998, -58.194337607999955 -34.87882501399997, -58.19281116099995 -34.88010824099996, -58.19425362499999 -34.88129839299995, -58.19573526399995 -34.88009733299998)))",IGN
areas_de_actividad_agropecuaria_AL270.752,752,2,Establecimiento Agropecuario,,,,IGN,-1,"MULTIPOLYGON (((-58.208774751999954 -34.87401564299995, -58.208380887999965 -34.87367480699993, -58.20831903599998 -34.873719301999984, -58.20808927499996 -34.873521263999976, -58.207798640999954 -34.87375118299997, -58.207742476999954 -34.87370976899996, -58.20748396699997 -34.873920288999955, -58.20774869899998 -34.87413515199995, -58.20779016599994 -34.87412138499997, -58.208179076999954 -34.874461261999954, -58.20824453399996 -34.87442412299998, -58.20827162699993 -34.874408750999976, -58.208355394999955 -34.87433148699995, -58.20843183499994 -34.87426098199995, -58.20860235799995 -34.87413898199998, -58.20876950999997 -34.87401939299997, -58.208774751999954 -34.87401564299995)))",IGN
